IngredientCode	IngredientName	AppropriateInventory	NowInventory	PurchasePrice	Unit
I01	메이플시나몬 시럽	 600	300	300	30
I02	애플시나몬시럽	600	300	300	30
I03	바나나 	20	10	400	1
I04	블루베리	20	10	400	1
I05	오레오누텔라	800	400	400	40
I06	바나나누텔라	800	400	420	40
I07	딸기 누텔라	 800	400	450	40
I08	크림젤라또	1000	500	500	50
I09	초코범벅젤라또	1000	500	500	50
I10	치즈케이크누텔라젤라또 	1000	500	600	50
I11	원두	1200	600	400	30
I12	카라멜시럽	600	300	400	30
I13	초코분말	600	300	400	30
I14	자몽원액	600	300	400	30
I15	플레인분말	600	300	500	30
I16	딸기시럽	600	300	500	30
I17	사이다	30	10	500	1
I18	콜라	30	10	500	1
I19	반죽	10000	5000	300	100
I20	우유	30	10	500	1
